iter	Passed	Remaining
553	18543	14928
554	18576	14894
555	18613	14863
556	18661	14841
557	18694	14807
558	18725	14772
559	18756	14737
560	18790	14704
561	18822	14669
562	18854	14634
563	18886	14599
564	18922	14568
565	18955	14534
566	18987	14500
567	19019	14465
568	19052	14431
569	19085	14397
570	19118	14363
571	19149	14328
572	19181	14294
573	19216	14261
574	19250	14228
575	19282	14193
576	19313	14158
577	19345	14124
578	19378	14090
579	19410	14056
580	19443	14022
581	19476	13987
582	19508	13953
583	19543	13921
584	19576	13887
585	19609	13853
586	19644	13821
587	19676	13786
588	19708	13752
589	19742	13719
590	19775	13685
591	19806	13650
592	19840	13616
593	19887	13592
594	19921	13559
595	19951	13524
596	19984	13490
597	20016	13455
598	20051	13423
599	20083	13388
600	20118	13356
601	20149	13321
602	20178	13285
603	20209	13249
604	20241	13215
605	20272	13180
606	20307	13148
607	20342	13115
608	20376	13082
609	20409	13049
610	20441	13014
611	20473	12979
612	20505	12945
613	20537	12911
614	20568	12876
615	20600	12841
616	20632	12807
617	20663	12772
618	20695	12738
619	20727	12704
620	20760	12670
621	20791	12635
622	20824	12601
623	20853	12565
624	20887	12532
625	20917	12497
626	20948	12462
627	20979	12427
628	21016	12395
629	21050	12362
630	21080	12327
631	21112	12293
632	21145	12259
633	21177	12225
634	21208	12190
635	21242	12157
636	21273	12123
637	21305	12088
638	21337	12054
639	21371	12021
640	21402	11986
641	21435	11953
642	21466	11918
643	21500	11885
644	21534	11852
645	21578	11824
646	21612	11791
647	21650	11760
648	21683	11727
649	21714	11692
650	21746	11658
651	21778	11624
652	21809	11589
653	21842	11555
654	21873	11521
655	21906	11487
656	21939	11454
657	21972	11420
658	22004	11386
659	22036	11352
660	22069	11318
661	22109	11288
662	22147	11257
663	22185	11226
664	22224	11195
665	22264	11165
666	22302	11134
667	22350	11108
668	22383	11074
669	22417	11041
670	22449	11007
671	22481	10973
672	22513	10938
673	22545	10904
674	22577	10870
675	22610	10836
676	22644	10803
677	22676	10769
678	22709	10736
679	22741	10701
680	22774	10668
681	22806	10633
682	22839	10600
683	22871	10566
684	22904	10532
685	22935	10498
686	22969	10464
687	23002	10431
688	23035	10397
689	23069	10364
690	23102	10331
