ilan_no,mahalle,ilce,il,fiyat,brut_m2,net_m2,oda_sayisi,banyo_sayisi,kat_sayisi,bulundugu_kat,bina_yasi,isinma,esya_durumu,kullanim_durumu,tapu_durumu,cephe,aidat,url
167884-79,Altınkale,Döşemealtı,Antalya,22.000.000 TL,230,152,4 + 1,4,2 Katlı,Bahçe Katı,Sıfır Bina,Klima,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/antalya-dosemealti-altinkale-satilik/villa/167884-79
28888-2036,Bağlıca,Etimesgut,Ankara,14.650.000 TL,185,170,4 + 1,2,10 Katlı,9. Kat,8 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu",,https://www.hepsiemlak.com/ankara-etimesgut-baglica-satilik/daire/28888-2036
167884-86,Kadriye,Serik,Antalya,12.390.000 TL,220,200,4 + 1,3,3 Katlı,Bahçe Katı,11 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat İrtifakı,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/antalya-serik-kadriye-satilik/villa/167884-86
54400-7407,Şentepe,Polatlı,Ankara,3.950.000 TL,155,147,3 + 1,2,8 Katlı,2. Kat,8 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/ankara-polatli-sentepe-satilik/daire/54400-7407
54400-7353,Şentepe,Polatlı,Ankara,2.000.000 TL,110,105,3 + 1,2,8 Katlı,Yüksek Giriş,20 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Kuzey, Doğu, Batı",,https://www.hepsiemlak.com/ankara-polatli-sentepe-satilik/daire/54400-7353
26985-3476,Seyranbağları,Çankaya,Ankara,2.499.999 TL,75,68,1 + 1,1,5 Katlı,Kot 2,22 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Doğu, Batı",100 TL,https://www.hepsiemlak.com/ankara-cankaya-seyranbaglari-satilik/daire/26985-3476
26985-2493,Türközü,Mamak,Ankara,5.500.000 TL,250,200,4 + 1,2,3 Katlı,Teras Katı,16 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat İrtifakı,"Güney, Doğu, Batı",30 TL,https://www.hepsiemlak.com/ankara-mamak-turkozu-satilik/daire/26985-2493
167884-13,Gençlik,Muratpaşa,Antalya,7.450.000 TL,155,145,3 + 1,1,4 Katlı,3. Kat,26 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Müstakil Tapulu,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/antalya-muratpasa-genclik-satilik/daire/167884-13
68738-423,Firuzağa,Beyoğlu,İstanbul,9.500.000 TL,65,60,1 + 1,1,6 Katlı,Çatı Katı,60 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,Doğu,300 TL,https://www.hepsiemlak.com/istanbul-beyoglu-firuzaga-satilik/daire/68738-423
133609-33,Adatepe,Buca,İzmir,1.100.000 TL,60,55,1 + 1,1,9 Katlı,6. Kat,Sıfır Bina,Kombi,Eşyalı,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/izmir-buca-adatepe-satilik/daire/133609-33
93630-826,Yıldırım Beyazıt,Çubuk,Ankara,2.250.000 TL,130,120,3 + 1,1,4 Katlı,4. Kat,16 Yaşında,Soba,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Kuzey, Doğu, Batı",100 TL,https://www.hepsiemlak.com/ankara-cubuk-yildirim-beyazit-satilik/daire/93630-826
131325-228,Kentkoop,Yenimahalle,Ankara,5.600.000 TL,120,110,3 + 1,1,4 Katlı,4. Kat,29 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Güney, Doğu",800 TL,https://www.hepsiemlak.com/ankara-yenimahalle-kentkoop-satilik/daire/131325-228
70173-2041,Cumhuriyet,Ereğli,Konya,2.350.000 TL,75,70,2 + 0,1,5 Katlı,Yüksek Giriş,5 Yaşında,Merkezi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu",400 TL,https://www.hepsiemlak.com/konya-eregli-cumhuriyet-satilik/daire/70173-2041
168209-41,Fevzi Çakmak,Torbalı,İzmir,4.100.000 TL,90,85,2 + 1,1,2 Katlı,2. Kat,5 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat İrtifakı,Doğu,100 TL,https://www.hepsiemlak.com/izmir-torbali-fevzi-cakmak-satilik/daire/168209-41
51676-4777,Susuz,Yenimahalle,Ankara,4.795.000 TL,50,45,1 + 1,1,16 Katlı,7. Kat,1 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Doğu",1.500 TL,https://www.hepsiemlak.com/ankara-yenimahalle-susuz-satilik/daire/51676-4777
169393-21,Ayyıldız,Etimesgut,Ankara,11.149.000 TL,170,160,4 + 1,2,7 Katlı,7. Kat,5 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Güney, Batı",,https://www.hepsiemlak.com/ankara-etimesgut-ayyildiz-satilik/daire/169393-21
169393-7,Mustafa Kemal,Sincan,Ankara,6.349.000 TL,135,120,3 + 1,2,4 Katlı,3. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/ankara-sincan-mustafa-kemal-satilik/daire/169393-7
70173-2067,Mehmet Akif,Ereğli,Konya,1.295.000 TL,48,38,1 + 1,1,4 Katlı,Ara Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Doğu",400 TL,https://www.hepsiemlak.com/konya-eregli-mehmet-akif-satilik/daire/70173-2067
85585-2600,Atatürk,Seferihisar,İzmir,14.500.000 TL,160,100,3 + 1,1,2 Katlı,Villa Katı,17 Yaşında,Klima,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",1.500 TL,https://www.hepsiemlak.com/izmir-seferihisar-ataturk-satilik/yazlik/85585-2600
124958-168,Gazi,Vize,Kırklareli,6.500.000 TL,110,105,2 + 0,2,1 Katlı,Bahçe Katı,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Müstakil Tapulu,Güney,,https://www.hepsiemlak.com/kirklareli-vize-gazi-satilik/villa/124958-168
156760-547,Mimar Sinan,Pursaklar,Ankara,8.950.000 TL,190,180,4 + 1,2,11 Katlı,11. Kat,7 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,Güney,,https://www.hepsiemlak.com/ankara-pursaklar-mimar-sinan-satilik/daire/156760-547
57329-2287,Elvan,Etimesgut,Ankara,3.950.000 TL,120,115,3 + 1,1,3 Katlı,Giriş Katı,20 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Güney, Doğu",150 TL,https://www.hepsiemlak.com/ankara-etimesgut-elvan-satilik/daire/57329-2287
162009-122,Yeşilyurt,Melikgazi,Kayseri,2.750.000 TL,135,100,4 + 1,2,14 Katlı,8. Kat,Sıfır Bina,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Kooperatiften H...,,,https://www.hepsiemlak.com/kayseri-melikgazi-yesilyurt-satilik/kooperatif/162009-122
168411-56,Güzelyurt,Esenyurt,İstanbul,2.334.000 TL,130,115,2 + 1,2,8 Katlı,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,Güney,,https://www.hepsiemlak.com/istanbul-esenyurt-guzelyurt-satilik/daire/168411-56
168411-94,Yakuplu,Beylikdüzü,İstanbul,2.850.000 TL,125,110,2 + 1,2,6 Katlı,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,Güney,,https://www.hepsiemlak.com/istanbul-beylikduzu-yakuplu-satilik/daire/168411-94
168160-19,Güvercintepe,Başakşehir,İstanbul,3.450.000 TL,75,65,2 + 1,1,3 Katlı,Yüksek Giriş,4 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat İrtifakı,"Güney, Doğu",300 TL,https://www.hepsiemlak.com/istanbul-basaksehir-guvercintepe-satilik/daire/168160-19
117629-4657,17 Eylül,Bandırma,Balıkesir,6.500.000 TL,170,160,4 + 1,3,4 Katlı,4. Kat,15 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,Güney,1 TL,https://www.hepsiemlak.com/balikesir-bandirma-17-eylul-satilik/daire/117629-4657
117629-4528,Yeni,Bandırma,Balıkesir,25.000.000 TL,390,330,9 + 3,3,3 Katlı,,3 Yaşında,Kombi,Eşyalı Değil,Boş,Müstakil Tapulu,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/balikesir-bandirma-yeni-satilik/mustakil-ev/117629-4528
22303-609,Korutürk,Balçova,İzmir,7.500.000 TL,130,120,3 + 1,1,5 Katlı,En Üst Kat,31 Yaşında,Jeotermal Isıtm...,Eşyalı Değil,Boş,Kat İrtifakı,,,https://www.hepsiemlak.com/izmir-balcova-koruturk-satilik/daire/22303-609
22303-611,Limanreis,Narlıdere,İzmir,23.500.000 TL,150,130,3 + 1,2,3 Katlı,,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/izmir-narlidere-limanreis-satilik/villa/22303-611
136352-261,Yıldırım Beyazıt,Çubuk,Ankara,2.075.000 TL,44,38,1 + 1,1,4 Katlı,1. Kat,Sıfır Bina,Yerden Isıtma,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/ankara-cubuk-yildirim-beyazit-satilik/daire/136352-261
151732-302,Kurtuluş,Polatlı,Ankara,1.040.000 TL,105,104,3 + 1,1,4 Katlı,Bahçe Katı,30 Yaşında,Kombi,,,Kat Mülkiyeti,,,https://www.hepsiemlak.com/ankara-polatli-kurtulus-satilik/daire/151732-302
124957-261,Sümbül Efendi,Fatih,İstanbul,3.150.000 TL,80,75,2 + 1,1,3 Katlı,2. Kat,40 Yaşında,Doğalgaz Sobası,Eşyalı Değil,Mülk Sahibi,Yabancıdan,"Kuzey, Güney, Doğu",100 TL,https://www.hepsiemlak.com/istanbul-fatih-sumbul-efendi-satilik/daire/124957-261
124957-240,Koca Mustafapaşa,Fatih,İstanbul,1.590.000 TL,70,65,1 + 1,1,4 Katlı,Bodrum,40 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Kuzey, Güney, Doğu",100 TL,https://www.hepsiemlak.com/istanbul-fatih-koca-mustafapasa-satilik/daire/124957-240
68039-2413,Ertuğrulgazi,Sarıçam,Adana,16.150.000 TL,270,240,5 + 1,4,3 Katlı,,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/adana-saricam-ertugrulgazi-satilik/villa/68039-2413
68039-2471,Gürselpaşa,Seyhan,Adana,5.700.000 TL,165,130,3 + 1,2,14 Katlı,8. Kat,8 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu",,https://www.hepsiemlak.com/adana-seyhan-gurselpasa-satilik/daire/68039-2471
45377-2694,Pınarbaşı,Keçiören,Ankara,3.495.000 TL,115,105,3 + 1,1,3 Katlı,Yüksek Giriş,26 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,,200 TL,https://www.hepsiemlak.com/ankara-kecioren-pinarbasi-satilik/daire/45377-2694
16407-11944,Oğuzlar,Etimesgut,Ankara,4.300.000 TL,120,110,3 + 1,1,4 Katlı,2. Kat,25 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Güney, Doğu",500 TL,https://www.hepsiemlak.com/ankara-etimesgut-oguzlar-satilik/daire/16407-11944
169137-7,Semizkumlar,Silivri,İstanbul,11.700.000 TL,280,250,5 + 1,3,3 Katlı,Bahçe Katı,26 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Kuzey, Güney, Doğu",,https://www.hepsiemlak.com/istanbul-silivri-semizkumlar-satilik/villa/169137-7
3584-29269,Yukarı Bahçelievler,Çankaya,Ankara,7.050.000 TL,110,100,3 + 1,1,3 Katlı,3. Kat,40 Yaşında,Merkezi,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/ankara-cankaya-yukari-bahcelievler-satilik/daire/3584-29269
161069-99,Yıldıztepe,Altındağ,Ankara,8.150.000 TL,170,150,4 + 1,2,3 Katlı,3. Kat,Sıfır Bina,Yerden Isıtma,Eşyalı Değil,Boş,Kat İrtifakı,"Kuzey, Batı",,https://www.hepsiemlak.com/ankara-altindag-yildiztepe-satilik/daire/161069-99
120137-1941,Kavaklı,Tarsus,Mersin,4.075.000 TL,105,90,2 + 1,2,2 Katlı,2. Kat,Sıfır Bina,Güneş Enerjisi,Eşyalı Değil,Boş,Kat İrtifakı,"Güney, Doğu",,https://www.hepsiemlak.com/mersin-tarsus-kavakli-satilik/daire/120137-1941
1124-6341,Yukarı Bahçelievler,Çankaya,Ankara,4.950.000 TL,85,80,2 + 1,,4 Katlı,Bahçe Katı,40 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu",,https://www.hepsiemlak.com/ankara-cankaya-yukari-bahcelievler-satilik/daire/1124-6341
169027-3,Zülüflühan,Antakya,Hatay,1.100.000 TL,75,60,2 + 1,1,5 Katlı,2. Kat,6 Yaşında,Klima,Eşyalı,Boş,Kat İrtifakı,"Kuzey, Doğu",,https://www.hepsiemlak.com/hatay-antakya-zulufluhan-satilik/daire/169027-3
166705-80,Hürriyet,Bahçelievler,İstanbul,2.900.000 TL,100,90,1 + 1,1,5 Katlı,5. Kat,31 Yaşında,Kombi,Eşyalı Değil,Boş,Arsa,Güney,200 TL,https://www.hepsiemlak.com/istanbul-bahcelievler-hurriyet-satilik/daire/166705-80
129057-499,Aydınlıkevler,Altındağ,Ankara,7.750.000 TL,165,150,4 + 1,2,4 Katlı,4. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,Güney,,https://www.hepsiemlak.com/ankara-altindag-aydinlikevler-satilik/daire/129057-499
16139-2817,Tınaztepe,Çankaya,Ankara,4.500.000 TL,115,110,3 + 1,1,3 Katlı,2. Kat,31 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,Doğu,250 TL,https://www.hepsiemlak.com/ankara-cankaya-tinaztepe-satilik/daire/16139-2817
169354-4,İncivez,Merkez,Zonguldak,2.450.000 TL,55,50,1 + 1,1,7 Katlı,5. Kat,1 Yaşında,Kombi,Eşyalı Değil,Boş,Kat İrtifakı,,,https://www.hepsiemlak.com/zonguldak-merkez-incivez-satilik/daire/169354-4
30988-233,Bahçeleriçi,Merkez,Amasya,5.500.000 TL,190,165,3 + 1,2,4 Katlı,4. Kat,19 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/amasya-merkez-bahcelerici-satilik/daire/30988-233
30988-234,Bahçeleriçi,Merkez,Amasya,4.000.000 TL,150,125,3 + 1,1,5 Katlı,2. Kat,25 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/amasya-merkez-bahcelerici-satilik/daire/30988-234
36248-926,İncivez,Merkez,Zonguldak,3.150.000 TL,321,120,3 + 1,1,1 Katlı,,10 Yaşında,Belirtilmemiş,Eşyalı Değil,Mülk Sahibi,Müstakil Tapulu,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/zonguldak-merkez-incivez-satilik/mustakil-ev/36248-926
49652-2661,Etlik,Keçiören,Ankara,3.550.000 TL,130,120,3 + 1,1,2 Katlı,2. Kat,26 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",300 TL,https://www.hepsiemlak.com/ankara-kecioren-etlik-satilik/daire/49652-2661
161430-54,Süleymaniye,Esenyurt,İstanbul,2.120.000 TL,130,110,3 + 1,1,5 Katlı,Bahçe Katı,6 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-esenyurt-suleymaniye-satilik/daire/161430-54
161430-56,Üçevler,Esenyurt,İstanbul,2.520.000 TL,100,90,2 + 1,1,4 Katlı,1. Kat,6 Yaşında,Kombi,Eşyalı Değil,Boş,Kat İrtifakı,,,https://www.hepsiemlak.com/istanbul-esenyurt-ucevler-satilik/daire/161430-56
161430-55,Osmangazi,Esenyurt,İstanbul,2.370.000 TL,85,80,2 + 1,1,4 Katlı,Yüksek Giriş,11 Yaşında,Kombi,Eşyalı Değil,Boş,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-esenyurt-osmangazi-satilik/daire/161430-55
161430-48,Kızılpınar Atatürk,Çerkezköy,Tekirdağ,3.000.000 TL,130,120,3 + 1,1,5 Katlı,2. Kat,6 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",8 TL,https://www.hepsiemlak.com/tekirdag-cerkezkoy-kizilpinar-ataturk-satilik/daire/161430-48
161430-22,Mehterçeşme,Esenyurt,İstanbul,2.650.000 TL,115,100,2 + 1,1,5 Katlı,3. Kat,11 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu",,https://www.hepsiemlak.com/istanbul-esenyurt-mehtercesme-satilik/daire/161430-22
168763-1,Ünalan,Üsküdar,İstanbul,35.500.000 TL,143,119,2 + 1,2,30 Katlı,21 ve üzeri,3 Yaşında,Isı Pompası,Eşyalı Değil,Boş,Yabancıdan,"Güney, Doğu, Batı",6.000 TL,https://www.hepsiemlak.com/istanbul-uskudar-unalan-satilik/daire/168763-1
168763-5,Zafer,Esenyurt,İstanbul,6.307.500 TL,125,93,2 + 1,2,22 Katlı,15. Kat,6 Yaşında,Merkezi (Pay Öl...,Eşyalı,Kiracılı,Kat Mülkiyeti,"Güney, Batı",5.000 TL,https://www.hepsiemlak.com/istanbul-esenyurt-zafer-satilik/daire/168763-5
168763-7,Zafer,Esenyurt,İstanbul,6.750.000 TL,132,120,2 + 1,2,21 Katlı,17. Kat,3 Yaşında,Merkezi,Eşyalı Değil,Kiracılı,Yabancıdan,,5.000 TL,https://www.hepsiemlak.com/istanbul-esenyurt-zafer-satilik/daire/168763-7
158869-46,Cumhuriyet,Esenyurt,İstanbul,4.500.000 TL,135,120,3 + 1,1,12 Katlı,2. Kat,16 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu",1.250 TL,https://www.hepsiemlak.com/istanbul-esenyurt-cumhuriyet-satilik/daire/158869-46
158869-53,Çanta Sancaktepe,Silivri,İstanbul,3.300.000 TL,130,125,3 + 1,1,5 Katlı,2. Kat,16 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat İrtifakı,"Güney, Doğu",1.000 TL,https://www.hepsiemlak.com/istanbul-silivri-canta-sancaktepe-satilik/daire/158869-53
40658-22502,Teşvikiye,Şişli,İstanbul,28.500.000 TL,220,185,4 + 1,1,6 Katlı,1. Kat,35 Yaşında,Kombi,Eşyalı Değil,,Kat Mülkiyeti,,,https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-satilik/daire/40658-22502
40658-22484,Feriköy,Şişli,İstanbul,11.700.000 TL,154,130,3 + 1,1,7 Katlı,5. Kat,35 Yaşında,Merkezi,Eşyalı Değil,Mülk Sahibi,Kat İrtifakı,,,https://www.hepsiemlak.com/istanbul-sisli-ferikoy-satilik/daire/40658-22484
168586-11,Osmangazi,Esenyurt,İstanbul,2.849.999 TL,100,85,2 + 1,2,4 Katlı,2. Kat,11 Yaşında,Kombi,Eşyalı Değil,Boş,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı",150 TL,https://www.hepsiemlak.com/istanbul-esenyurt-osmangazi-satilik/daire/168586-11
125044-746,Güzelyurt,Esenyurt,İstanbul,4.500.000 TL,105,100,2 + 1,2,22 Katlı,15. Kat,6 Yaşında,Kombi,Eşyalı Değil,Boş,Kat İrtifakı,Güney,3.500 TL,https://www.hepsiemlak.com/istanbul-esenyurt-guzelyurt-satilik/daire/125044-746
168556-20,Mehterçeşme,Esenyurt,İstanbul,6.500.000 TL,180,150,4 + 1,2,5 Katlı,3. Kat,11 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat İrtifakı,,200 TL,https://www.hepsiemlak.com/istanbul-esenyurt-mehtercesme-satilik/daire/168556-20
168556-14,Mehmet Akif Ersoy,Esenyurt,İstanbul,4.200.000 TL,110,95,2 + 1,1,5 Katlı,2. Kat,11 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,,200 TL,https://www.hepsiemlak.com/istanbul-esenyurt-mehmet-akif-ersoy-satilik/daire/168556-14
168547-38,Güzelyurt,Esenyurt,İstanbul,3.650.000 TL,120,105,2 + 1,2,25 Katlı,18. Kat,6 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Yabancıdan,"Güney, Doğu",4.500 TL,https://www.hepsiemlak.com/istanbul-esenyurt-guzelyurt-satilik/daire/168547-38
168543-3,Pınartepe,Büyükçekmece,İstanbul,42.500.000 TL,450,380,5 + 1,4,1 Katlı,Bahçe Katı,11 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,,,https://www.hepsiemlak.com/istanbul-buyukcekmece-pinartepe-satilik/villa/168543-3
168543-7,5. Levent,Eyüpsultan,İstanbul,23.000.000 TL,180,130,3 + 1,2,15 Katlı,4. Kat,5 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,,,https://www.hepsiemlak.com/istanbul-eyupsultan-5-levent-satilik/daire/168543-7
168565-7,Alkent 2000,Büyükçekmece,İstanbul,8.950.000 TL,140,115,2 + 1,2,18 Katlı,12. Kat,6 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Yabancıdan,,7.800 TL,https://www.hepsiemlak.com/istanbul-buyukcekmece-alkent-2000-satilik/daire/168565-7
4094-1567,Bahçelievler,Çankaya,Ankara,7.950.000 TL,115,110,3 + 1,1,3 Katlı,1. Kat,35 Yaşında,Merkezi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu",2.000 TL,https://www.hepsiemlak.com/ankara-cankaya-bahcelievler-satilik/daire/4094-1567
149439-15,Denizköşkler,Avcılar,İstanbul,3.150.000 TL,135,130,3 + 1,1,4 Katlı,Giriş Katı,26 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Güney, Doğu, Batı",200 TL,https://www.hepsiemlak.com/istanbul-avcilar-denizkoskler-satilik/daire/149439-15
148959-29,Bayır,Marmaris,Muğla,12.000.000 TL,588,170,4 + 1,3,2 Katlı,,Sıfır Bina,Klima,Eşyalı Değil,Boş,Arsa,"Kuzey, Doğu, Batı",1 TL,https://www.hepsiemlak.com/mugla-marmaris-bayir-satilik/villa/148959-29
24938-3026,Karslılar,Çukurova,Adana,4.590.000 TL,150,130,3 + 1,1,6 Katlı,4. Kat,27 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Batı",,https://www.hepsiemlak.com/adana-cukurova-karslilar-satilik/daire/24938-3026
169900-17,Selimzade,Yıldırım,Bursa,2.950.000 TL,100,96,2 + 1,1,5 Katlı,2. Kat,25 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat İrtifakı,"Doğu, Batı",,https://www.hepsiemlak.com/bursa-yildirim-selimzade-satilik/daire/169900-17
170378-1,Cumhuriyet,Altınordu,Ordu,4.250.000 TL,83,68,2 + 1,1,5 Katlı,1. Kat,Sıfır Bina,Yerden Isıtma,,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/ordu-altinordu-cumhuriyet-satilik/daire/170378-1
170044-7,Atakent,Küçükçekmece,İstanbul,22.000.000 TL,160,145,2 + 1,2,4 Katlı,2. Kat,2 Yaşında,Yerden Isıtma,Eşyalı Değil,Mülk Sahibi,Yabancıdan,,,https://www.hepsiemlak.com/istanbul-kucukcekmece-atakent-satilik/daire/170044-7
170044-20,Halkalı Merkez,Küçükçekmece,İstanbul,19.500.000 TL,140,120,3 + 1,2,20 Katlı,11. Kat,11 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,,,https://www.hepsiemlak.com/istanbul-kucukcekmece-halkali-merkez-satilik/daire/170044-20
170044-15,Atakent,Küçükçekmece,İstanbul,13.900.000 TL,147,125,3 + 1,2,13 Katlı,2. Kat,11 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/istanbul-kucukcekmece-atakent-satilik/daire/170044-15
170044-19,Atakent,Küçükçekmece,İstanbul,13.700.000 TL,147,125,3 + 1,2,13 Katlı,4. Kat,11 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/istanbul-kucukcekmece-atakent-satilik/daire/170044-19
10596-5078,Yeni,Korkuteli,Antalya,2.550.000 TL,65,60,2 + 1,1,3 Katlı,2. Kat,1 Yaşında,Kombi,Eşyalı Değil,Boş,Yabancıdan,"Güney, Doğu",,https://www.hepsiemlak.com/antalya-korkuteli-yeni-satilik/daire/10596-5078
156577-68,Akşemsettin,Mamak,Ankara,4.800.000 TL,180,160,4 + 1,1,4 Katlı,En Üst Kat,15 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Doğu, Batı",300 TL,https://www.hepsiemlak.com/ankara-mamak-aksemsettin-satilik/daire/156577-68
168604-31,İstasyon,Etimesgut,Ankara,2.900.000 TL,110,95,3 + 1,1,2 Katlı,Kot 1,25 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,,1 TL,https://www.hepsiemlak.com/ankara-etimesgut-istasyon-satilik/daire/168604-31
145463-243,Ayanoğlu,Kepez,Antalya,5.250.000 TL,125,105,3 + 1,1,2 Katlı,1. Kat,1 Yaşında,Klima,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/antalya-kepez-ayanoglu-satilik/daire/145463-243
110641-245,Fatih,Merkez,Düzce,3.500.000 TL,118,101,3 + 1,1,4 Katlı,2. Kat,4 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Batı",500 TL,https://www.hepsiemlak.com/duzce-merkez-fatih-satilik/daire/110641-245
145463-172,Ayanoğlu,Kepez,Antalya,6.250.000 TL,130,110,3 + 1,2,3 Katlı,1. Kat,Sıfır Bina,Klima,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu",,https://www.hepsiemlak.com/antalya-kepez-ayanoglu-satilik/daire/145463-172
170181-2,Mimar Sinan,Sultanbeyli,İstanbul,5.100.000 TL,95,85,2 + 1,1,6 Katlı,4. Kat,5 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-sultanbeyli-mimar-sinan-satilik/daire/170181-2
