ilan_no,mahalle,ilce,il,fiyat,brut_m2,net_m2,oda_sayisi,banyo_sayisi,kat_sayisi,bulundugu_kat,bina_yasi,isinma,esya_durumu,kullanim_durumu,tapu_durumu,cephe,aidat,url
63496-5441,Hacı Seyit,Tepebaşı,Eskişehir,1.900.000 TL,100,90,3 + 1,1,7 Katlı,6. Kat,31 Yaşında,Merkezi,Eşyalı Değil,Boş,Kat Mülkiyeti,Güney,,https://www.hepsiemlak.com/eskisehir-tepebasi-haci-seyit-satilik/daire/63496-5441
63496-5412,Sütlüce,Tepebaşı,Eskişehir,1.210.000 TL,45,35,1 + 1,1,3 Katlı,1. Kat,13 Yaşında,Kombi,Eşyalı Değil,Boş,Kat İrtifakı,Batı,,https://www.hepsiemlak.com/eskisehir-tepebasi-sutluce-satilik/daire/63496-5412
133456-453,Güzelçamlı,Kuşadası,Aydın,4.100.000 TL,100,90,2 + 1,1,4 Katlı,2. Kat,21 Yaşında,Klima,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Güney, Doğu",,https://www.hepsiemlak.com/aydin-kusadasi-guzelcamli-satilik/daire/133456-453
118329-342,Yağcılar,Adapazarı,Sakarya,2.300.000 TL,128,115,3 + 1,1,4 Katlı,En Üst Kat,30 Yaşında,Kombi,Eşyalı Değil,,Kat Mülkiyeti,"Güney, Batı",,https://www.hepsiemlak.com/sakarya-adapazari-yagcilar-satilik/daire/118329-342
118329-321,Güneşler Merkez,Adapazarı,Sakarya,5.750.000 TL,150,140,5 + 1,2,3 Katlı,En Üst Kat,5 Yaşında,Kombi,Eşyalı Değil,Boş,Kat İrtifakı,"Kuzey, Güney, Batı",,https://www.hepsiemlak.com/sakarya-adapazari-gunesler-merkez-satilik/daire/118329-321
126773-149,Kazım Özalp,Çankaya,Ankara,12.800.000 TL,280,250,5 + 1,3,2 Katlı,En Üst Kat,35 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Doğu, Batı",4.000 TL,https://www.hepsiemlak.com/ankara-cankaya-kazim-ozalp-satilik/daire/126773-149
151774-161,Dalyan,Ortaca,Muğla,6.000.000 TL,50,40,1 + 1,1,1 Katlı,1. Kat,Sıfır Bina,Yerden Isıtma,,,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/mugla-ortaca-dalyan-satilik/daire/151774-161
138321-1168,Yeşilkent,Esenyurt,İstanbul,1.100.000 TL,111,108,2 + 1,1,5 Katlı,Bahçe Katı,5 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,Güney,,https://www.hepsiemlak.com/istanbul-esenyurt-yesilkent-satilik/daire/138321-1168
27499-4016,Güzelçamlı,Kuşadası,Aydın,60.000.000 TL,320,250,5 + 1,4,2 Katlı,Bahçe Katı,11 Yaşında,Klima,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",1 TL,https://www.hepsiemlak.com/aydin-kusadasi-guzelcamli-satilik/villa/27499-4016
9072-2118,Şahindere,Edremit,Balıkesir,7.250.000 TL,140,120,4 + 2,3,2 Katlı,Yüksek Giriş,15 Yaşında,Kat Kaloriferi,Eşyalı,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",1 TL,https://www.hepsiemlak.com/balikesir-edremit-sahindere-satilik/daire/9072-2118
111753-2687,Yeşilkent,Esenyurt,İstanbul,1.645.000 TL,70,65,1 + 1,1,26 Katlı,21 ve üzeri,8 Yaşında,Kombi,Eşyalı,Kiracılı,Yabancıdan,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-esenyurt-yesilkent-satilik/daire/111753-2687
111753-2654,Talatpaşa,Esenyurt,İstanbul,1.475.000 TL,90,82,2 + 1,1,4 Katlı,Yüksek Giriş,6 Yaşında,Kombi,Eşyalı Değil,,Kat Mülkiyeti,"Güney, Doğu",,https://www.hepsiemlak.com/istanbul-esenyurt-talatpasa-satilik/daire/111753-2654
136218-1244,Mimar Sinan,Üsküdar,İstanbul,9.850.000 TL,95,85,2 + 1,1,7 Katlı,4. Kat,4 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/istanbul-uskudar-mimar-sinan-satilik/daire/136218-1244
165223-134,Bağlarçeşme,Esenyurt,İstanbul,2.990.000 TL,100,90,2 + 1,1,5 Katlı,1. Kat,6 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/istanbul-esenyurt-baglarcesme-satilik/daire/165223-134
58396-205,Adatepe,Buca,İzmir,4.700.000 TL,130,120,3 + 1,1,3 Katlı,3. Kat,11 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,,200 TL,https://www.hepsiemlak.com/izmir-buca-adatepe-satilik/daire/58396-205
58396-201,Adatepe,Buca,İzmir,3.250.000 TL,55,50,1 + 1,1,3 Katlı,1. Kat,5 Yaşında,Kombi,Eşyalı,Kiracılı,Kat Mülkiyeti,,200 TL,https://www.hepsiemlak.com/izmir-buca-adatepe-satilik/daire/58396-201
163123-7,Ragıp Bey,Akhisar,Manisa,2.850.000 TL,120,110,2 + 1,1,4 Katlı,1. Kat,31 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Güney, Doğu",,https://www.hepsiemlak.com/manisa-akhisar-ragip-bey-satilik/daire/163123-7
130076-360,Narlı,Edremit,Balıkesir,7.450.000 TL,160,150,3 + 1,3,3 Katlı,,21 Yaşında,Klima,Eşyalı,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/balikesir-edremit-narli-satilik/villa/130076-360
130076-382,Altınoluk,Edremit,Balıkesir,13.900.000 TL,200,150,4 + 2,4,3 Katlı,Bahçe Katı,4 Yaşında,Yerden Isıtma,Eşyalı,Mülk Sahibi,Müstakil Tapulu,"Kuzey, Güney, Doğu, Batı",1.000 TL,https://www.hepsiemlak.com/balikesir-edremit-altinoluk-satilik/villa/130076-382
169509-3,Altıntas,Dalaman,Muğla,3.750.000 TL,55,50,1 + 1,1,4 Katlı,2. Kat,11 Yaşında,Klima,Eşyalı,Boş,Müstakil Tapulu,,,https://www.hepsiemlak.com/mugla-dalaman-altintas-satilik/daire/169509-3
160344-37,Yayla,Tuzla,İstanbul,19.950.000 TL,230,190,5 + 2,3,8 Katlı,8. Kat,Sıfır Bina,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Tapu Yok,"Güney, Batı",6.700 TL,https://www.hepsiemlak.com/istanbul-tuzla-yayla-satilik/daire/160344-37
160344-40,Aydınlı,Tuzla,İstanbul,4.950.000 TL,70,55,1 + 1,1,2 Katlı,2. Kat,11 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,Doğu,,https://www.hepsiemlak.com/istanbul-tuzla-aydinli-satilik/daire/160344-40
137613-84,Ekin,Mamak,Ankara,2.900.000 TL,120,110,3 + 1,1,3 Katlı,Giriş Katı,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu",,https://www.hepsiemlak.com/ankara-mamak-ekin-satilik/daire/137613-84
