ilan_no,mahalle,ilce,il,fiyat,brut_m2,net_m2,oda_sayisi,banyo_sayisi,kat_sayisi,bulundugu_kat,bina_yasi,isinma,esya_durumu,kullanim_durumu,tapu_durumu,cephe,aidat,url
169658-11,Acıbadem,Üsküdar,İstanbul,28.750.000 TL,135,110,3 + 1,2,5 Katlı,3. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Batı",,https://www.hepsiemlak.com/istanbul-uskudar-acibadem-satilik/daire/169658-11
136725-393,Bahçelievler,Büyükçekmece,İstanbul,17.500.000 TL,190,170,3 + 1,2,,Bahçe Katı,31 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Arsa,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-buyukcekmece-bahcelievler-satilik/mustakil-ev/136725-393
103802-2285,Kumburgaz,Büyükçekmece,İstanbul,35.000.000 TL,500,350,6 + 1,4,3 Katlı,Bahçe Katı,1 Yaşında,Yerden Isıtma,Eşyalı Değil,Mülk Sahibi,Kat İrtifakı,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-buyukcekmece-kumburgaz-satilik/villa/103802-2285
141464-648,Suadiye,Kadıköy,İstanbul,24.500.000 TL,100,88,3 + 1,2,12 Katlı,10. Kat,Sıfır Bina,Yerden Isıtma,Eşyalı Değil,Boş,Yabancıdan,"Güney, Doğu",,https://www.hepsiemlak.com/istanbul-kadikoy-suadiye-satilik/daire/141464-648
169619-5,Fındıklı,Maltepe,İstanbul,10.800.000 TL,136,125,4 + 2,2,4 Katlı,4. Kat,5 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat İrtifakı,Güney,350 TL,https://www.hepsiemlak.com/istanbul-maltepe-findikli-satilik/daire/169619-5
4336-1440,Gayrettepe,Beşiktaş,İstanbul,14.500.000 TL,165,140,3 + 1,1,7 Katlı,6. Kat,35 Yaşında,Merkezi,Eşyalı,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/istanbul-besiktas-gayrettepe-satilik/daire/4336-1440
139971-99,Mimar Sinan,Üsküdar,İstanbul,19.800.000 TL,108,103,2 + 1,1,5 Katlı,5. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney",,https://www.hepsiemlak.com/istanbul-uskudar-mimar-sinan-satilik/daire/139971-99
127831-166,Orta,Kartal,İstanbul,10.350.000 TL,180,160,5 + 1,2,8 Katlı,8. Kat,11 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,Güney,500 TL,https://www.hepsiemlak.com/istanbul-kartal-orta-satilik/daire/127831-166
93181-6355,Esatpaşa,Ataşehir,İstanbul,12.250.000 TL,180,160,4 + 1,2,5 Katlı,5. Kat,7 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Güney, Doğu",500 TL,https://www.hepsiemlak.com/istanbul-atasehir-esatpasa-satilik/daire/93181-6355
14121-5846,İnönü,Ataşehir,İstanbul,11.750.000 TL,125,110,3 + 1,3,4 Katlı,2. Kat,11 Yaşında,Merkezi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,Doğu,500 TL,https://www.hepsiemlak.com/istanbul-atasehir-inonu-satilik/daire/14121-5846
158228-56,Fikirtepe,Kadıköy,İstanbul,6.290.000 TL,56,42,1 + 0,1,24 Katlı,11. Kat,6 Yaşında,Yerden Isıtma,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Kuzey, Doğu",,https://www.hepsiemlak.com/istanbul-kadikoy-fikirtepe-satilik/residence/158228-56
168166-11,Büyükşehir,Beylikdüzü,İstanbul,16.750.000 TL,270,194,4 + 1,3,12 Katlı,3. Kat,5 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Mülk Sahibi,Yabancıdan,Batı,6.500 TL,https://www.hepsiemlak.com/istanbul-beylikduzu-buyuksehir-satilik/daire/168166-11
72542-4237,Cevizli,Kartal,İstanbul,4.400.000 TL,46,30,1 + 0,1,27 Katlı,9. Kat,9 Yaşında,VRV,Eşyalı,Boş,Kat Mülkiyeti,"Güney, Doğu",7.860 TL,https://www.hepsiemlak.com/istanbul-kartal-cevizli-satilik/residence/72542-4237
10432-2701,Küçükyalı,Maltepe,İstanbul,10.750.000 TL,120,100,3 + 1,1,3 Katlı,1. Kat,21 Yaşında,Kombi,Eşyalı Değil,Boş,Kat İrtifakı,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-maltepe-kucukyali-satilik/daire/10432-2701
126306-192,Merkez,Çekmeköy,İstanbul,7.600.000 TL,135,120,3 + 1,1,5 Katlı,Giriş Katı,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Batı",,https://www.hepsiemlak.com/istanbul-cekmekoy-merkez-satilik/daire/126306-192
166297-191,Postane,Tuzla,İstanbul,21.590.000 TL,300,250,3 + 1,3,2 Katlı,Bahçe Katı,Sıfır Bina,Yerden Isıtma,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-tuzla-postane-satilik/daire/166297-191
134074-310,Selahaddin Eyyubi,Esenyurt,İstanbul,1.799.000 TL,100,90,2 + 1,1,6 Katlı,Bahçe Katı,8 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,Güney,250 TL,https://www.hepsiemlak.com/istanbul-esenyurt-selahaddin-eyyubi-satilik/daire/134074-310
